ID,Category,Item Name,Description,Price,Image,Available,Featured,Sort Order
001,برجر لحمة,كلاسيك برجر (سنجل),,110,,TRUE,FALSE,1
002,برجر لحمة,كلاسيك برجر (دبل),,165,,TRUE,FALSE,2
003,برجر لحمة,هالبينو برجر (سنجل),,115,,TRUE,FALSE,3
004,برجر لحمة,هالبينو برجر (دبل),,175,,TRUE,FALSE,4
005,برجر لحمة,تشيز برجر (سنجل),,120,,TRUE,FALSE,5
006,برجر لحمة,تشيز برجر (دبل),,190,,TRUE,FALSE,6
007,برجر فراخ,كلاسيك تشيكن (سنجل),,105,,TRUE,FALSE,1
008,برجر فراخ,كلاسيك تشيكن (دبل),,165,,TRUE,FALSE,2
009,برجر فراخ,هالبينو تشيكن (سنجل),,110,,TRUE,FALSE,3
010,برجر فراخ,هالبينو تشيكن (دبل),,165,,TRUE,FALSE,4
011,برجر فراخ,باربكيو تشيكن جريل (سنجل),,110,,TRUE,FALSE,5
012,برجر فراخ,باربكيو تشيكن جريل (دبل),,175,,TRUE,FALSE,6
013,برجر فراخ,مكسد تشيكن (سنجل),,120,,TRUE,FALSE,7
014,برجر فراخ,مكسد تشيكن (دبل),,190,,TRUE,FALSE,8
015,السوري,شاورما فراخ راب,,90,,TRUE,FALSE,1
016,السوري,بوم فريت راب,,55,,TRUE,FALSE,2
017,السوري,كرانشي تشيكن راب,,90,,TRUE,FALSE,3
018,السوري,كبده راب,,55,,TRUE,FALSE,4
019,السوري,شيش طاووق راب,,90,,TRUE,FALSE,5
020,السوري,كفته راب,,60,,TRUE,FALSE,6
021,السوري,سجق راب,,60,,TRUE,FALSE,7
022,الفرنساوي,شاورما فراخ,,60,,TRUE,FALSE,1
023,الفرنساوي,بوم فريت,,50,,TRUE,FALSE,2
024,الفرنساوي,كرانشي تشيكن,,65,,TRUE,FALSE,3
025,الفرنساوي,سجق,,55,,TRUE,FALSE,4
026,الفرنساوي,شيش طاووق,,65,,TRUE,FALSE,5
027,الفرنساوي,كفته,,55,,TRUE,FALSE,6
028,الفرنساوي,كبده اسكندراني,,50,,TRUE,FALSE,7
029,وجبات,وجبة فراخ مكسد,أرز بسمتي، قطع فراخ مكسد، سلطة حمراء، عيش، مخلل، صوص مكسد,160,,TRUE,FALSE,1
030,وجبات,وجبة ملك السعادة,أرز بسمتي، قطع مراب تشيكن، سلطة كول سلو، عيش، نومي، مخلل,170,,TRUE,FALSE,2
031,وجبات,وجبة تاج السعادة,أرز بسمتي، قطع بيبس طاووق، سلطة حمراء، عيش، نومي، مخلل,170,,TRUE,FALSE,3
032,وجبات,بوكس السعادة,2 ساندوتش شاورما سوري، 2 قطعة مراب تشيكن، بطاطس بوم فريت، عيش، مخلل، صوص مكسد، نومية,250,,TRUE,FALSE,4
033,وجبات,مكسد السعادة,بطاطس بوم بصوص المكسد وقطع فراخ تشيكن,75,,TRUE,FALSE,5
034,وجبات,ريزو السعادة,أرز مع شاورما فراخ,75,,TRUE,FALSE,6
035,مقبلات,بطاطس بوم فريت,,35,,TRUE,FALSE,1
036,مقبلات,بطاطس تشيز فرايز,,60,,TRUE,FALSE,2
037,السلطات,سلطة خضراء,,15,,TRUE,FALSE,1
038,السلطات,كول سلو,,25,,TRUE,FALSE,2
039,السلطات,طحينة,,15,,TRUE,FALSE,3
040,السلطات,تومية,,15,,TRUE,FALSE,4
041,صوصات,صوص مكسد,,15,,TRUE,FALSE,1
042,صوصات,باربكيو,,15,,TRUE,FALSE,2
043,صوصات,الرانش,,15,,TRUE,FALSE,3
044,صوصات,السويت تشيلي,,15,,TRUE,FALSE,4
045,الحلو,كنافة نوتيلا,,40,,TRUE,FALSE,1
046,الحلو,كنافة وايت شوكلت,,40,,TRUE,FALSE,2
047,الحلو,كنافة كراميل,,40,,TRUE,FALSE,3
048,الحلو,أرز بلبن,,30,,TRUE,FALSE,4
049,المشروبات,شاي,,10,,TRUE,FALSE,1
050,المشروبات,ينسون,,10,,TRUE,FALSE,2
051,المشروبات,قهوة تركي,,20,,TRUE,FALSE,3
052,المشروبات,قهوة فرنساوي,,25,,TRUE,FALSE,4
053,المشروبات,نسكافيه ساده,,15,,TRUE,FALSE,5
054,المشروبات,نسكافيه حليب,,20,,TRUE,FALSE,6
055,المشروبات,كابتشينو,,20,,TRUE,FALSE,7
056,المشروبات,كوفي مكس,,15,,TRUE,FALSE,8
057,المشروبات,كولا,,20,,TRUE,FALSE,9
058,المشروبات,فانتا,,20,,TRUE,FALSE,10
059,المشروبات,اسبرايت,,20,,TRUE,FALSE,11
060,المشروبات,شويبس,,20,,TRUE,FALSE,12
061,المشروبات,عصير مانجو,,35,,TRUE,FALSE,13
062,المشروبات,ليمون بالنعناع,,25,,TRUE,FALSE,14
063,المشروبات,مياه,,7,,TRUE,FALSE,15
